year,total_sentences,total_words,ttr,mtld,unique_words,forward_count,backward_count,temporal_ratio,hedge_count,certainty_count,certainty_ratio,passive_count,active_count,passive_ratio
1960,560,11784,0.183,69.3,11416,167,129,0.5642,72,136,0.6538,177,473,0.2723
1961,715,14873,0.1654,63.69,14323,215,167,0.5628,102,166,0.6194,241,525,0.3146
1962,530,10277,0.1902,60.43,9901,191,141,0.5753,67,132,0.6633,191,318,0.3752
1963,463,9823,0.2007,71.86,9515,147,154,0.4884,41,118,0.7421,143,384,0.2713
1964,577,11916,0.1802,61.14,11268,157,175,0.4729,66,116,0.6374,193,372,0.3416
1965,382,7185,0.2262,67.73,6746,118,115,0.5064,37,77,0.6754,129,263,0.3291
1966,465,9894,0.1909,65.39,9291,183,105,0.6354,61,138,0.6935,141,319,0.3065
1967,517,10570,0.1898,58.38,9776,204,81,0.7158,45,173,0.7936,153,317,0.3255
1968,361,8111,0.2015,76.67,7820,111,93,0.5441,41,92,0.6917,68,362,0.1581
1969,518,10272,0.2016,69.09,9875,166,117,0.5866,35,112,0.7619,171,370,0.3161
1970,656,13745,0.1852,69.26,12848,181,257,0.4132,75,124,0.6231,146,523,0.2182
1971,655,14148,0.1777,66.98,13343,277,109,0.7176,69,211,0.7536,252,409,0.3812
1972,592,14659,0.1661,59.92,13953,177,163,0.5206,84,137,0.6199,236,397,0.3728
1973,510,11513,0.1879,57.56,10729,105,193,0.3523,60,83,0.5804,147,386,0.2758
1974,736,17647,0.1575,65.69,16771,183,286,0.3902,87,162,0.6506,211,606,0.2583
1975,255,5102,0.2556,71.32,4847,96,44,0.6857,20,80,0.8,69,211,0.2464
1976,271,4579,0.2907,81.85,4338,67,48,0.5826,33,65,0.6633,49,193,0.2025
1977,254,4877,0.2652,69.47,4574,100,54,0.6494,23,98,0.8099,70,170,0.2917
1978,359,7207,0.2354,69.21,6840,128,89,0.5899,27,115,0.8099,105,239,0.3052
1979,292,5235,0.2645,66.18,4930,86,93,0.4804,14,75,0.8427,62,195,0.2412
