year,total_sentences,total_words,total_chars,total_syllables,avg_words_per_sentence,readability,speech_date,fy_start_date,minister,days_before_fy
1960,560,11784,69556,17540,21.042857142857144,59.552874745417526,1959-11-25,1960-01-01,Goh Keng Swee,37
1961,715,14873,87310,22125,20.801398601398603,59.87104589392992,1960-11-29,1961-01-01,Goh Keng Swee,33
1962,530,10277,60565,15085,19.390566037735848,62.97424298167188,1961-11-28,1962-01-01,Goh Keng Swee,34
1963,463,9823,58450,14634,21.21598272138229,59.26632777703145,1963-06-07,1963-07-01,Goh Keng Swee,24
1964,577,11916,70416,17690,20.651646447140383,60.27992326702865,1963-11-28,1964-01-01,Goh Keng Swee,34
1965,382,7185,41801,10543,18.808900523560208,63.60509331722942,1964-11-02,1965-01-01,Goh Keng Swee,60
1966,465,9894,58236,14733,21.27741935483871,59.2618881237896,1965-12-13,1966-01-01,Lim Kim San,19
1967,517,10570,62742,15987,20.444874274661508,58.12695308425549,1966-12-05,1967-01-01,Lim Kim San,27
1968,361,8111,47835,12015,22.46814404432133,58.710021194841275,1967-12-05,1968-01-01,Goh Keng Swee,27
1969,518,10272,59660,14863,19.83011583011583,64.29604224551656,1968-12-03,1969-01-01,Goh Keng Swee,29
1970,656,13745,81919,20439,20.952743902439025,59.76662627041763,1970-03-09,1970-04-01,Goh Keng Swee,23
1971,655,14148,85297,21596,21.6,55.774613231552166,1971-03-08,1971-04-01,Hon Sui Sen,24
1972,592,14659,89064,22552,24.761824324324323,51.549677910374214,1972-03-07,1972-04-01,Hon Sui Sen,25
1973,510,11513,68397,17103,22.57450980392157,58.245350356715264,1973-02-26,1973-04-01,Hon Sui Sen,34
1974,736,17647,106329,26540,23.976902173913043,55.265260182864566,1974-03-04,1974-04-01,Hon Sui Sen,28
1975,255,5102,30989,7797,20.007843137254902,57.23926971353026,1975-03-03,1975-04-01,Hon Sui Sen,29
1976,271,4579,28095,7160,16.89667896678967,57.39921895964977,1976-03-01,1976-04-01,Hon Sui Sen,31
1977,254,4877,29586,7493,19.200787401574804,57.36715629283526,1977-02-28,1977-04-01,Hon Sui Sen,32
1978,359,7207,43744,11107,20.075208913649025,56.07817176352458,1978-02-27,1978-04-01,Hon Sui Sen,33
1979,292,5235,31471,7957,17.92808219178082,60.04922866703302,1979-03-05,1979-04-01,Goh Chok Tong,27
1980,488,8759,52989,13358,17.94877049180328,59.59692716648357,1980-03-05,1980-04-01,Goh Chok Tong,27
1981,467,8222,50428,12813,17.605995717344754,57.12597005110331,1981-03-06,1981-04-01,Goh Chok Tong,26
1982,548,10809,65671,16546,19.724452554744527,57.3122660024797,1982-03-05,1982-04-01,Dr Tony Tan Keng Yam,27
1983,552,10613,65057,16424,19.22644927536232,56.39860494188153,1983-03-04,1983-04-01,Dr Tony Tan Keng Yam,28
1984,567,10537,64441,16354,18.583774250440918,56.66864451778977,1984-03-02,1984-04-01,Dr Tony Tan Keng Yam,30
1985,390,8129,48954,12367,20.843589743589742,56.973109959278446,1985-03-08,1985-04-01,Dr Tony Tan Keng Yam,24
1986,392,6795,40875,10375,17.334183673469386,60.068618140965015,1986-03-07,1986-04-01,Dr Richard Hu Tsu Tau,25
1987,450,8357,50244,12792,18.57111111111111,58.488708604895464,1987-03-04,1987-04-01,Dr Richard Hu Tsu Tau,28
1988,431,8144,49973,12714,18.895591647331788,55.58274265084626,1988-03-04,1988-04-01,Dr Richard Hu Tsu Tau,28
1989,326,6031,35859,9079,18.5,60.70160545514841,1989-03-03,1989-04-01,Dr Richard Hu Tsu Tau,29
1990,473,8955,55031,13932,18.932346723044397,55.99977360374814,1990-03-02,1990-04-01,Dr Richard Hu Tsu Tau,30
1991,447,7963,48103,12124,17.814317673378078,59.946435036091145,1991-03-01,1991-04-01,Dr Richard Hu Tsu Tau,31
1992,525,8692,52265,13110,16.556190476190476,62.42968433808869,1992-02-28,1992-04-01,Dr Richard Hu Tsu Tau,33
1993,626,11011,64975,16358,17.589456869009584,63.29949257756476,1993-02-26,1993-04-01,Dr Richard Hu Tsu Tau,34
1994,568,10099,61726,15660,17.779929577464788,57.60350168978522,1994-02-23,1994-04-01,Dr Richard Hu Tsu Tau,37
1995,469,8920,54075,13643,19.01918976545842,58.13615019075033,1995-03-01,1995-04-01,Dr Richard Hu Tsu Tau,31
1996,616,10916,65997,16554,17.72077922077922,60.55339260135253,1996-02-28,1996-04-01,Dr Richard Hu Tsu Tau,33
1997,495,9707,58817,14975,19.610101010101012,56.418230734250926,1997-07-11,1997-04-01,Dr Richard Hu Tsu Tau,-101
1998,634,11335,69245,17545,17.878548895899055,57.73926537176527,1998-02-27,1998-04-01,Dr Richard Hu Tsu Tau,33
1999,529,10138,61838,15736,19.16446124763705,56.06865084331503,1999-02-26,1999-04-01,Dr Richard Hu Tsu Tau,34
2000,631,10926,66546,16862,17.315372424722664,58.69745876814869,2000-02-25,2000-04-01,Dr Richard Hu Tsu Tau,36
2001,480,8647,51262,12830,18.014583333333334,63.024813390241306,2001-02-23,2001-04-01,Dr Richard Hu Tsu Tau,37
2002,781,12936,77203,19299,16.56338028169014,63.80985732577284,2002-05-03,2002-04-01,Lee Hsien Loong,-32
2003,814,14407,87297,21830,17.6990171990172,60.68156160907657,2003-02-28,2003-04-01,Lee Hsien Loong,32
2004,886,15635,97619,24096,17.646726862302483,58.54163427505719,2004-02-27,2004-04-01,Lee Hsien Loong,34
